session_id,source_file,condition,family,omission_slot,unit_axis_index,metric_name,window_name,alignment_event,time_base,window_ms,baseline_ms,n_raw_behavioral_trials,rate_hz,contrast_name,contrast_value_hz,effect_size_name,effect_size_value,raw_p_value,q_value,correction_scope,candidate_threshold_passed,biological_interpretation_allowed,area_hierarchy_allowed,manuscript_safe_response_class,warnings
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,35,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,0.292,stimulus_vs_baseline,0.292,Cohens_d,0.027,0.374209,0.911905,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,35,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.314,stimulus_vs_baseline,0.314,Cohens_d,0.027,0.374209,0.911905,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,36,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,15.292,stimulus_vs_baseline,15.292,Cohens_d,1.934,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,36,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,24.443,stimulus_vs_baseline,24.443,Cohens_d,1.934,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,37,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,3.125,stimulus_vs_baseline,3.125,Cohens_d,-0.466,0.005587,0.036862,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,37,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,1.922,stimulus_vs_baseline,1.922,Cohens_d,-0.466,0.005587,0.036862,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,38,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,2.667,stimulus_vs_baseline,2.667,Cohens_d,0.017,0.949231,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,38,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,2.707,stimulus_vs_baseline,2.707,Cohens_d,0.017,0.949231,1.000000,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,39,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.625,stimulus_vs_baseline,1.625,Cohens_d,1.568,0.000002,0.000027,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,39,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,4.747,stimulus_vs_baseline,4.747,Cohens_d,1.568,0.000002,0.000027,within_session_all_units_all_primary_contrasts,true,false,false,false,None
