session_id,condition,smoke_metric,value,units,n_trials,n_units,n_timepoints,computed_from_slice,interpretation_allowed
230630,AXAB,trial_count,7,trials,7,50,6000,false,false
230630,AXAB,unit_count,50,units,7,50,6000,false,false
230630,AXAB,timepoint_count,6000,timepoints,7,50,6000,false,false
230630,BBBA,finite_fraction,1.000000,ratio,39,50,6000,true,false
230630,BBBA,nonnegative_fraction,1.000000,ratio,39,50,6000,true,false
230630,BBBA,total_nonzero_bins_preview,10328,bins,39,50,6000,true,false
230630,BBBA,mean_rate_preview_if_units_known,17.213333,Hz,39,50,6000,true,false
230630,BBBA,trial_count,39,trials,39,50,6000,false,false
230630,BBBA,unit_count,50,units,39,50,6000,false,false
230630,BBBA,timepoint_count,6000,timepoints,39,50,6000,false,false
230630,BBBX,finite_fraction,1.000000,ratio,8,50,6000,true,false
230630,BBBX,nonnegative_fraction,1.000000,ratio,8,50,6000,true,false
230630,BBBX,total_nonzero_bins_preview,4139,bins,8,50,6000,true,false
